SENT-END [] SIL
SENT-START [] SIL
JOIK jɔɪk
MUSIK mʉːsiːk
ROCK rɔkk
RAP rap
DANCE dɑnka
KVAD kvad
LEPROUS lɛpruːʉːs
ROXETTE ruːksɛtːa
STAMATIS stamatiːs
GONIDIS ɡuːniːdiːs
FREDERIC freːdeːriːk
CHOPIN ʃuːpiːn
MADRUGADA mɑdrʉːɡadɑ
DARKTHRONE dɑrkthruːna
A-HA ɑːhɑ
DONKEYBOY dɔŋkeːyːbuːyː
ZYKLON-B sykluːnbeː
KIRSTEN xɪrʃtən
BRÅTEN broːtən
BERG barɡ 
LYKKELIG lykːeːlɪ
TRIST trɪst
TRIUMF triːʉmf
JUL jʉːl 
PÅSKE pɔska
FESTEN fɛstən
SETT sɛtː
PÅ poː
PAUSE paʊsa   
HOPP hɔpː
OVER uːvər 
STOKK stɔkː
GJENTA jɛntɑ 
TIDLIGERE tɪdliːɡeːra 
NESTE nɛsta 
OPP ɔpː
NED neːd
TILFELDIG tɪlfɛllɪ
HØYT høyt
STILLE stɪlla
ASTRID ɑstriːd
SPILL spɪl
VOLUM vuːlʉːm
